model,criterion,requested_coverage,coverage,accepted_n,referred_n,risk,accepted_acc,accepted_f1,accepted_acc_ci_low,accepted_acc_ci_high
hybrid_quantum,free_energy,0.75,0.75,450,150,0.24222222222222223,0.7577777777777778,0.8621997471554994,0.7161193942909693,0.7950723346507881
hybrid_quantum,entropy,0.8,0.8,480,120,0.2583333333333333,0.7416666666666667,0.8516746411483254,0.700698403458075,0.7787975053164073
hybrid_quantum,free_energy,0.8,0.8,480,120,0.2583333333333333,0.7416666666666667,0.8516746411483254,0.700698403458075,0.7787975053164073
hybrid_quantum,entropy,0.85,0.85,510,90,0.28627450980392155,0.7137254901960784,0.8329519450800915,0.6730118082266026,0.7512435652115914
hybrid_quantum,free_energy,0.85,0.85,510,90,0.28627450980392155,0.7137254901960784,0.8329519450800915,0.6730118082266026,0.7512435652115914
hybrid_quantum,entropy,0.9,0.9,540,60,0.31666666666666665,0.6833333333333333,0.8118811881188119,0.6429211674951201,0.7211555257922173
hybrid_quantum,free_energy,0.9,0.9,540,60,0.31666666666666665,0.6833333333333333,0.8118811881188119,0.6429211674951201,0.7211555257922173
hybrid_quantum,entropy,0.9500000000000001,0.95,570,30,0.343859649122807,0.656140350877193,0.7923728813559322,0.6162176205557386,0.6939725848815075
hybrid_quantum,free_energy,0.9500000000000001,0.95,570,30,0.343859649122807,0.656140350877193,0.7923728813559322,0.6162176205557386,0.6939725848815075
hybrid_quantum,entropy,1.0,1.0,600,0,0.375,0.625,0.7692307692307693,0.5855828242149006,0.6628267505316743
hybrid_quantum,free_energy,1.0,1.0,600,0,0.375,0.625,0.7692307692307693,0.5855828242149006,0.6628267505316743
